"ID","名前","英名","シリーズ","カテゴリ","説明","サイズ","素材","仕上げ","備考（製作メモ）","コスト概要","タグ","金物数","写真数","ドキュメント数","3Dモデル","WEB URL"
"onomichi-bench-a","客室ベンチA","Guest Room Bench A","尾道倶楽部シリーズ","ベンチ","千光寺山荘の客室用ベンチ。ラワン合板ルーバー座面とスギ無垢脚。cabineo8 M6接合、Lアングル補強。キシラデ+ウレタン塗装。15室に設置。","W800","ラワン合板（座面ルーバー）+ スギ無垢材 30mm（脚）","キシラデクリア + ウレタン塗装","cabineo8 M6接合、Lアングル補強。竜骨+脚ビス斜め打ち。19台+再製作8台。塗装工数: 見積10人工→実績40人工（大幅超過）","原価概算（1台）: ¥90,000 / 材料_合板: ラワン合板3枚 ¥30,000 / 材料_脚: スギ無垢材 ¥10,000（津の国屋 ¥2,350/枚×9枚） / 加工費: ShopBot+ビエッセ ¥20,000 / 仕上げ・プレアッセンブル: 1.5人工 ¥30,000 / 出し値: ¥150,000/台 / 売価参考: ¥170,000/台（再販時の参考価格） / 再製作8台_オレンジ負担: ¥450,000 / 再製作8台_原価合計: ¥900,000","ベンチ, ホテル, CNC, ルーバー","4","7","4","あり","https://shungold.github.io/vuild-project-hub/furniture/onomichi-bench-a/index.html"
"onomichi-bench-b","客室ベンチB","Guest Room Bench B","尾道倶楽部シリーズ","ベンチ","B型客室用ロングベンチ。ベンチAと同素材・同工法。左右ミラー1セットで1室分。2室に設置。","ロングサイズ（左右ミラーペア）","ラワン合板（座面ルーバー）+ スギ無垢材 30mm（脚）","キシラデクリア + ウレタン塗装","ベンチAのロング版、左右ミラーペア。2室に設置","出し値: ¥300,000/台 / 構成: Aタイプのロング版・左右ミラーペア / 備考: ベンチAと同素材・同工法","ベンチ, ホテル, CNC, ルーバー","4","3","3","あり","https://shungold.github.io/vuild-project-hub/furniture/onomichi-bench-b/index.html"
"onomichi-cafe-table","カフェテーブル（ロングオーバル）","Cafe Long Oval Table","尾道倶楽部シリーズ","テーブル","カフェスペースの大型オーバルテーブル。天板3分割ボルトジョイント。シナ合板丸脚3本リブ付き。天板は調色塗りつぶし（日塗工19-75C）半艶、脚はシナにウレタンクリア。","約W4000×D1100（3分割搬入）","ラワン合板（天板）+ MDF 24mm（下地）+ シナ合板（丸脚）","天板: 調色塗りつぶし（日塗工19-75C）半艶 / 脚: シナにウレタンクリア","天板3分割ボルトジョイント、丸脚3本リブ付き、コンセント神保ソリッドグレー。搬送: 衣川チャーター約¥50,000（海老名→衣川ウレタン）","見積出し値: ¥500,000（シナ+染色仕様の場合） / 原価目標: ¥200,000 / 木部費: ¥317,000（タモ含む） / 塗料原価: ¥93,627 / テーブル+パーティション請求額: ¥400,000（諸経費込・2末締3末払） / 加工見積（特急なし）: ¥377,000（税別） / 輸送_衣川チャーター: ¥50,000","テーブル, ホテル, CNC, オーバル","2","5","8","あり","https://shungold.github.io/vuild-project-hub/furniture/onomichi-cafe-table/index.html"
"onomichi-partition","パーティション（レタールーム）","Partition / Letter Room","尾道倶楽部シリーズ","パーティション","レタースペース用パーティション。ラワン合板パネルにUV印刷。ポストカード差し込みフレーム・けんどん式ダボカット。POST赤色パネル付き。","約W2200×D650×H1600","ラワン合板","キシラデ塗装 + UV印刷","ポストカード差し込みフレーム、けんどん式ダボカット。POST赤色パネル付き","当初予算: ¥300,000 / 見積更新後: ¥450,000〜500,000（UV印刷込み） / テーブル+パーティション請求額: ¥400,000（諸経費込） / 備考: 予算¥400,000に合わせて調整","パーティション, ホテル, CNC, UV印刷","1","4","3","あり","https://shungold.github.io/vuild-project-hub/furniture/onomichi-partition/index.html"
"pan-kitchen-6f","6F造作キッチン","6F Built-in Kitchen","pan門真新棟シリーズ","キッチン","6階壁面造作キッチン。ステンレス天板+タイル壁面。冷蔵庫・食洗機・オーブン組込み。レースウェイ照明付き。4ユニット構成。","","シナ共芯合板 24mm（本体）+ ステンレス天板 + MDF（凹凸パネル下地）","ウレタン塗装仕上げ","4ユニット構成。レースウェイ照明キャンチ+壁固定。設備: IH・レンジフード・シンク・混合水栓・冷蔵庫(NR-F557XV)・食洗機組込。WS稼働収納の扉取付あり。大工施工: トップヒルズ岡崎さん","製作材料費: ¥2,500,000 / 設備機器(レンジフード・IH・シンク等): ¥1,378,000 / ShopBot加工費: ¥972,000 / 造作施工費: ¥2,000,000 / 設備工事(電気・給排水・ダクト): ¥150,000","キッチン, 造作, 6F","0","2","3","なし","https://shungold.github.io/vuild-project-hub/furniture/pan-kitchen-6f/index.html"
"pan-kitchen-7f","7F造作キッチン","7F Built-in Kitchen","pan門真新棟シリーズ","キッチン","7階テクスチャパネルカウンター。シンク付き。芝キューブと同エリアに配置。","","シナ共芯合板 24mm + MDF（岩テクスチャパネル）","天板: 桜葉ステイン塗装 / 側面: シナにステイン / 凹凸面: MDF岩テクスチャ+砂飯盒塗装 / シーラー下地必須","テクスチャパネルカウンター。シンク・水栓付き。芝キューブと同エリア。岩テクスチャはMDFで再現、小口は段差をなじませるためにヤスリ処理","造作施工費: ¥2,000,000 / 設備工事(電気・給排水): ¥150,000 / 塗装工事(中村塗装): ¥1,336,500（WS運営費含む） / 備考: 凹凸パネル砂飯盒塗装+棚板+天板桜葉塗装","キッチン, 造作, 7F","0","2","3","なし","https://shungold.github.io/vuild-project-hub/furniture/pan-kitchen-7f/index.html"
"pan-mobile-kitchen-a","モバイルキッチンユニット typeA","Mobile Kitchen Unit Type A","pan門真新棟シリーズ","キッチンユニット","6F用モバイルキッチンユニットtypeA。キャスター付き可動式。合板CNC加工。穴あきパネル+引き出し収納。","W900×D900×H700","構造用合板 t:24mm（CNC加工）+ 有孔ボード + 電線管","クリアウレタン塗装（外注: 天野さん）3分艶","キャスター付き可動式。穴あきパネル+引き出し収納。電線管でコンセント経路確保。海老名工場で加工(合板43枚)。WS見本用に1セット先行組立。組立WSでパナソニック社員が参加","typeA単価: ¥195,000/台（900×900×h700・クリア塗装） / typeA数量: 3台 = ¥585,000 / 加工: 海老名工場 合板43枚 / 塗装: クリア塗装（外注） / 備考: 6FL稼働什器。組立WSでパナソニック社員が参加","キッチン, モバイル, CNC, typeA","0","4","2","なし","https://shungold.github.io/vuild-project-hub/furniture/pan-mobile-kitchen-a/index.html"
"pan-mobile-kitchen-b","モバイルキッチンユニット typeB","Mobile Kitchen Unit Type B","pan門真新棟シリーズ","キッチンユニット","6F用モバイルキッチンユニットtypeB。オーバル天板型。キャスター付き。","","構造用合板 t:24mm（CNC加工）","クリアウレタン塗装（外注: 天野さん）3分艶","オーバル天板型。キャスター付き","備考: ⚠ コスト未取得","キッチン, モバイル, CNC, typeB","0","0","0","なし","https://shungold.github.io/vuild-project-hub/furniture/pan-mobile-kitchen-b/index.html"
"pan-mobile-kitchen-c","モバイルキッチンユニット typeC","Mobile Kitchen Unit Type C","pan門真新棟シリーズ","キッチンユニット","6F用モバイルキッチンユニットtypeC。アイランド型。キャスター付き。","","構造用合板 t:24mm（CNC加工）","クリアウレタン塗装（外注: 天野さん）3分艶","アイランド型。キャスター付き","備考: ⚠ コスト未取得","キッチン, モバイル, CNC, typeC","0","0","0","なし","https://shungold.github.io/vuild-project-hub/furniture/pan-mobile-kitchen-c/index.html"
"pan-shiba-2ren","芝キューブ 2連","Shiba Cube 2-block","pan門真新棟シリーズ","什器","人工芝仕上げのモジュラー什器。2ブロック連結タイプ。座面・背もたれとして使用。","","構造用合板 t:24mm（CNC加工: カトケン/aoiem）+ ウレタンフォーム + 人工芝（衣川ウレタン施工）","木部: 無塗装 / 表面: 人工芝貼り（衣川ウレタン加工販賣工業所）","2ブロック連結。木部CNC加工(合板40枚・ShopBot26h)+仮組をカトケンが担当。芝貼り+搬入設置を衣川が担当(2便に分けて大阪直送)。搬入時にぐらつきなし確認済","木部加工(カトケン/aoiem): ¥648,450（構造用合板40枚+ShopBot26h+仮組+送料） / 芝貼り(衣川ウレタン): ¥918,500（ユニットA-G芝貼り+搬入設置2回+宿泊） / VUILD芝材料: ¥397,460（7m分・支給） / 芝キューブ合計: 約¥1,964,410 / 見積単価: A:¥195,000 / B:¥195,000×2 / C:¥195,000×4 / 備考: 衣川ウレタンが芝貼り+設置まで対応。カトケンが木部CNC加工+仮組。2便に分けて大阪直送","什器, 芝, モジュラー, 2連","0","5","4","なし","https://shungold.github.io/vuild-project-hub/furniture/pan-shiba-2ren/index.html"
